Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
Contemporary 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Megamound Estate Ikota Lekki Lagos,5.0,6.0,6.0,1,0,0,255000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,85000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Pinnock Beach Estate Osapa London Lekki Lagos,5.0,6.0,6.0,1,1,0,600000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Ajah Lagos,4.0,5.0,5.0,1,1,0,95000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,125000000.0
Modern 4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,0,0,95000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Oral Estate Lekki Lagos,5.0,6.0,6.0,1,1,0,140000000.0
Beautiful 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,3.0,4.0,4.0,1,1,0,45000000.0
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,4.0,5.0,5.0,1,1,0,130000000.0
Beautiful 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,2.0,3.0,3.0,1,1,0,38000000.0
5 Bedroom Detached Home,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,0,0,100000000.0
1 Bedroom Apartment,1 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,1.0,2.0,2.0,1,1,1,45000000.0
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,3.0,4.0,4.0,1,0,1,350000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,1,1,0,160000000.0
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,4.0,5.0,5.0,1,0,0,90000000.0
Aesthetic 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,5.0,5.0,1,1,0,135000000.0
Modern 4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,4.0,5.0,5.0,1,1,0,85000000.0
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
4 Bedroom Manssionett,4 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,4.0,5.0,5.0,1,1,0,500000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,0,1,45000000.0
5 Bedroom Detached Duplex+bq,5 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,5.0,6.0,6.0,1,1,0,150000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,1,0,0,160000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,1,0,70000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,5.0,5.0,6.0,1,1,0,200000000.0
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Just By Prince Ebanor Supermarket Oniru Victoria Island Lagos,4.0,5.0,5.0,1,0,0,200000000.0
3 Units Of 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,0,1,65000000.0
Spacious 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,1,1,0,125000000.0
Exquisitely Built 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,0,210000000.0
5 Bedroom Fully Detached Duplex With A Bq,5 BEDROOM HOUSE FOR SALE,"Chevron Toll Gate, Chevron Lekki Lagos",5.0,6.0,6.0,1,0,0,105000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,0,1,55000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,5.0,5.0,1,1,0,115000000.0
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,4.0,5.0,5.0,1,1,0,55000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,1,1,98000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,3.0,4.0,4.0,1,1,0,165000000.0
5 Bedroom Fully Detached Duplex House,5 BEDROOM HOUSE FOR SALE,Bera Estate Chevron Lekki Lagos,5.0,6.0,6.0,1,0,0,150000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,1,1,0,330000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,6.0,6.0,1,1,0,700000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Ajah Lagos,5.0,6.0,6.0,1,1,0,135000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,1,0,230000000.0
5 Bedroom Terrace Duplex,5 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,5.0,6.0,6.0,1,1,0,100000000.0
Furnished & Automated 4 Bedroom Fully Detached,4 BEDROOM HOUSE FOR SALE,Ajah Ajah Lagos,4.0,5.0,5.0,1,1,1,135000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,3.0,4.0,4.0,1,0,1,165000000.0
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lagos Business School Ajah Lagos,4.0,4.0,5.0,1,0,0,66000000.0
Fully Serviced 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,2.0,2.0,3.0,1,1,1,90000000.0
Luxury 3 Bedroom Terrace Duplex With Bq,3 BEDROOM HOUSE FOR SALE,Lagos Business School Ajah Lagos,3.0,3.0,4.0,1,0,1,55000000.0
3 Bedroom Maisonette,3 BEDROOM HOUSE FOR SALE,Lekki Lagos,3.0,4.0,4.0,1,0,1,140000000.0
Luxury Built 3bedroom Flat+ Bq!!!,3 BEDROOM FLAT / APARTMENT FOR SALE,Ikeja Gra Ikeja Lagos,3.0,4.0,4.0,1,0,1,110000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,1,0,75000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,62000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,5.0,5.0,1,1,0,130000000.0
3 Bedroom Manssionett,3 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,3.0,4.0,4.0,1,1,1,68000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Palm City Ajah Lagos,5.0,6.0,6.0,1,0,0,75000000.0
Luxury 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Ajah Lagos,3.0,4.0,4.0,1,0,1,45000000.0
4bedroom Terrace Duplex + Bq!!!,4 BEDROOM HOUSE FOR SALE,"Modupe Estate, Fola Agoro Yaba Lagos",4.0,5.0,5.0,1,0,0,90000000.0
1 Bedroom Apartment,1 BEDROOM HOUSE FOR SALE,Ebute Metta Yaba Lagos,1.0,1.0,2.0,1,1,0,35000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Ebute Metta Yaba Lagos,3.0,3.0,4.0,1,1,0,60000000.0
Beautiful 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,4.0,4.0,5.0,1,1,0,65000000.0
Magnificent 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,1,0,580000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,60000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,5.0,5.0,1,1,0,150000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,1,0,190000000.0
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,5.0,6.0,5.0,1,0,0,240000000.0
3 Bedroom Detached Bungalow,3 BEDROOM HOUSE FOR SALE,Lakowe Ajah Lagos,3.0,4.0,4.0,1,0,1,25000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,1,0,150000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Ikoyi Lagos,3.0,4.0,4.0,1,1,0,341000000.0
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,2.0,2.0,3.0,1,1,0,47000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,0,1,75000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,5.0,6.0,6.0,1,1,0,210000000.0
5 Bedroom Detached Duplex With Swimming Pool,5 BEDROOM HOUSE FOR SALE,"Lekki Palm City, Ajah Lagos",5.0,6.0,6.0,1,0,0,100000000.0
2 Bedroom Flat,2 BEDROOM HOUSE FOR SALE,Lekki Lagos,2.0,3.0,3.0,1,0,1,85000000.0
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Thomas Estate Ajah Lagos,4.0,5.0,5.0,1,0,0,200000000.0
Luxury 4 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Thomas Estate Ajah Lagos,5.0,6.0,6.0,1,0,0,160000000.0
3 Bedroom Manssionett,3 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,3.0,4.0,4.0,1,1,0,265000000.0
Luxury 3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,3.0,4.0,4.0,1,0,1,450000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Ajah Lagos,5.0,6.0,6.0,1,0,0,120000000.0
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,0,0,85000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,2.0,2.0,3.0,1,0,1,45000000.0
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,1,0,100000000.0
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,2.0,3.0,3.0,1,1,0,46000000.0
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,2.0,3.0,3.0,1,0,1,135000000.0
1 Bedroom Apartment,1 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,1.0,2.0,2.0,1,1,1,40000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,1,0,75000000.0
4 Units Of 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Off Yetunde Brown Ifako Gbagada Gbagada Lagos,3.0,0.0,0.0,0,0,0,40000000.0
Spacious 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,1,1,0,400000000.0
6 Bedroom Fully Detached Duplex,6 BEDROOM HOUSE FOR SALE,Ikoyi Lagos,6.0,6.0,7.0,0,0,0,750000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Conservation Center Chevron Lekki Lagos,4.0,5.0,5.0,1,1,0,65000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Orchid Lekki Lagos,4.0,5.0,5.0,1,0,1,65000000.0
Beautiful 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SALE,Nicon Town Lekki Lagos,4.0,4.0,5.0,1,1,0,200000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,1,0,100000000.0
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,5.0,6.0,6.0,1,0,1,260000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Lagos,5.0,6.0,6.0,1,1,0,85000000.0
2 Bedroom Duplex,2 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,2.0,3.0,3.0,1,0,1,130000000.0
Serviced 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,2.0,3.0,3.0,1,1,1,100000000.0
Fully Serviced 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,2.0,3.0,3.0,1,0,1,80000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,3.0,4.0,4.0,1,0,1,130000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,75000000.0
Beautiful 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,0,0,180000000.0
Magnificent 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,6.0,1,1,0,350000000.0
Newly Built Detached 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Egbeda Alimosho Lagos,5.0,0.0,0.0,0,0,0,120000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,0,0,130000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Old Ikoyi Ikoyi Lagos,5.0,6.0,6.0,1,1,0,1000000000.0
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,180000000.0
Luxury 4 Bedroom House,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Lekki Lagos,4.0,5.0,5.0,1,0,1,115000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Royal Garden Ajah Lagos,5.0,6.0,6.0,1,0,0,240000000.0
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,1,1,58000000.0
Contemporary 5 Bedroom Detached Home,5 BEDROOM HOUSE FOR SALE,Jakande Lekki Lagos,5.0,6.0,6.0,1,0,0,500000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,5.0,6.0,6.0,1,0,0,130000000.0
Newly Built 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Lekki Lagos,4.0,5.0,5.0,1,0,1,80000000.0
Newly Built 4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,0,0,75000000.0
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,1,1,1,150000000.0
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,0.0,6.0,1,0,0,120000000.0
Standard 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ogba Lagos,4.0,5.0,5.0,1,0,1,75000000.0
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Tollgate Lekki Lagos,4.0,5.0,5.0,0,0,0,95000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,5.0,5.0,1,0,0,150000000.0
Finished 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki County Megamound Ikota Lekki Lagos,4.0,5.0,5.0,1,0,0,180000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,1,0,220000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,3.0,4.0,4.0,1,1,0,103000000.0
4 Bedroom Manssionet,4 BEDROOM HOUSE FOR SALE,Ikoyi Lagos,4.0,5.0,5.0,1,1,0,500000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,75000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,5.0,6.0,6.0,1,1,0,65000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,1,1,150000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,1,0,80000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,5.0,5.0,1,1,0,70000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,65000000.0
Lovely 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 1 Ojodu Lagos,4.0,5.0,5.0,1,0,0,120000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,0,1,95000000.0
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,5.0,5.0,1,0,1,210000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
70% Completed 7bedroom Detached Duplex+ 2bq!!!,7 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,7.0,6.0,6.0,1,0,0,600000000.0
Beautiful 5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,5.0,5.0,6.0,1,1,0,150000000.0
Beautiful 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,1,0,95000000.0
4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,5.0,5.0,1,0,0,110000000.0
5 Bedroom Penthouse Duplex With Bq And Kitchenette,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,5.0,1,0,0,200000000.0
Spacious 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,5.0,5.0,1,0,0,150000000.0
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,5.0,5.0,1,0,0,120000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,105000000.0
Brand New 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,6.0,1,0,0,180000000.0
